feature,importance,exercise
right_eye_outer_mean_x,0.04615179616679549,E4
right_foot_index_var_x,0.04580840122197205,E4
left_eye_mean_x,0.04551707288743995,E4
left_ear_mean_x,0.04535828674401543,E4
right_eye_mean_x,0.0450548543913869,E4
right_index_mean_x,0.043245866874087935,E4
right_eye_inner_mean_x,0.04292947518790269,E4
mouth_left_mean_x,0.04261438861577255,E4
left_thumb_var_y,0.04231941937520051,E4
right_heel_mean_x,0.04121091087389456,E4
right_ear_mean_x,0.03843126700832164,E4
right_pinky_var_y,0.037696619036619375,E4
left_shoulder_var_y,0.03756637121142181,E4
left_hip_var_y,0.03688196386971154,E4
mouth_right_mean_x,0.03289564300649939,E4
mouth_left_var_y,0.0327511731499307,E4
left_ear_mean_y,0.03257901190062862,E4
right_wrist_var_y,0.03099969239073963,E4
right_eye_outer_var_y,0.029985383358149598,E4
mouth_left_var_x,0.027191263930243334,E4
right_ear_mean_y,0.02653275884839617,E4
right_eye_var_y,0.02483959488182763,E4
mouth_left_mean_y,0.022834239392998,E4
left_eye_inner_var_x,0.021311218550270808,E4
right_thumb_var_y,0.021103012471237192,E4
mouth_right_mean_y,0.020889218426251632,E4
left_eye_outer_var_x,0.019427714377810656,E4
left_eye_var_x,0.018769676583777387,E4
right_knee_mean_y,0.01797246444692524,E4
left_eye_outer_var_y,0.017845780886364904,E4
right_eye_inner_var_y,0.017626081780107383,E4
left_eye_var_y,0.01743285122214161,E4
left_eye_inner_var_y,0.016498020342459563,E4
right_ear_var_y,0.016314597243135942,E4
left_wrist_var_y,0.010893897194584501,E4
nose_var_x,0.010333040149347827,E4
right_eye_var_x,0.009509253616282881,E4
right_ankle_mean_x,0.008740577264910454,E4
left_eye_mean_y,0.006951055356118854,E4
right_eye_outer_var_x,0.006833296738122288,E4
right_eye_inner_mean_y,0.006277146834644691,E4
right_foot_index_var_y,0.005406521281711013,E4
left_ankle_mean_y,0.005051989687807179,E4
right_eye_mean_y,0.0047883584078230075,E4
right_eye_inner_var_x,0.004184572509403073,E4
left_ankle_var_x,0.004027082549867434,E4
left_heel_mean_y,0.0031204324982426757,E4
left_eye_inner_mean_y,0.0025012155381080522,E4
nose_mean_y,0.0022682238778994473,E4
left_eye_outer_mean_y,0.0017077344269303338,E4
right_eye_outer_mean_y,0.00010495132968180165,E4
exercise_E1,0.0,E4
exercise_E2,0.0,E4
exercise_E3,0.0,E4
exercise_E4,0.0,E4
exercise_E5,0.0,E4
left_knee_var_x,0.33028370750834973,E5
right_knee_mean_y,0.26185311496411123,E5
right_index_mean_x,0.1842194877639293,E5
right_foot_index_var_x,0.18291948734905494,E5
left_knee_mean_x,0.17213789645825717,E5
right_heel_var_x,0.17101066648107777,E5
right_hip_var_x,0.16946450853376205,E5
right_hip_mean_y,0.1679817915476597,E5
right_thumb_mean_x,0.1662541886989895,E5
right_pinky_mean_x,0.16070221643055788,E5
left_hip_var_x,0.155782506146183,E5
right_ankle_var_x,0.15525659069878311,E5
right_wrist_mean_x,0.15191164272697216,E5
left_knee_mean_y,0.1454604305557984,E5
left_hip_mean_y,0.14479534926871934,E5
left_elbow_mean_y,0.12974846321078404,E5
left_wrist_mean_y,0.11951044883084627,E5
right_ankle_mean_y,0.11599006390386994,E5
right_ear_var_y,0.11584296436649363,E5
right_knee_var_y,0.11547199057530665,E5
right_elbow_mean_y,0.1139632585684474,E5
nose_mean_x,0.11128395404964923,E5
right_eye_outer_mean_x,0.11015293785599631,E5
right_eye_mean_x,0.10471705476289082,E5
mouth_right_mean_x,0.10312617804708182,E5
left_index_mean_x,0.10212260873198203,E5
right_eye_inner_mean_x,0.10181040156065294,E5
left_eye_inner_mean_x,0.09990986303226083,E5
left_thumb_mean_y,0.09979456166222883,E5
left_heel_mean_x,0.09889277377388843,E5
right_knee_mean_x,0.09818692546870145,E5
left_thumb_mean_x,0.09638396688237309,E5
left_eye_mean_x,0.09597541109909973,E5
left_pinky_mean_x,0.09427557466679182,E5
left_eye_outer_mean_x,0.093916317326889,E5
left_knee_var_y,0.09299428647592842,E5
right_thumb_var_x,0.09291327049611119,E5
right_heel_mean_y,0.0927901189436334,E5
left_wrist_var_y,0.09153114562497722,E5
left_pinky_mean_y,0.08823656674238066,E5
left_wrist_mean_x,0.08763368238063335,E5
right_pinky_var_x,0.08710273043244711,E5
right_wrist_var_x,0.08529217046016724,E5
left_foot_index_var_y,0.08450690930541571,E5
mouth_left_mean_x,0.08390665176409007,E5
left_ankle_mean_x,0.08170890090571817,E5
left_ankle_var_x,0.08047370087949171,E5
right_foot_index_var_y,0.0769785486193345,E5
right_ear_mean_x,0.07633447522385027,E5
right_index_var_x,0.07613767496369417,E5
left_heel_var_x,0.07356613199158743,E5
left_foot_index_var_x,0.07297744669620354,E5
left_elbow_mean_x,0.06916862054439998,E5
left_index_mean_y,0.0677046790065575,E5
right_hip_mean_x,0.06358117548292286,E5
left_shoulder_var_x,0.05694965639379547,E5
right_foot_index_mean_y,0.056887515064628705,E5
left_pinky_var_x,0.05465925323359805,E5
left_hip_mean_x,0.052116311361621995,E5
right_knee_var_x,0.050406325840375354,E5
left_thumb_var_y,0.04971820436193028,E5
left_ear_mean_x,0.048578948982660214,E5
mouth_right_var_y,0.047608985935993234,E5
left_elbow_var_x,0.047589065502515696,E5
right_elbow_mean_x,0.046704142761930564,E5
right_shoulder_var_y,0.046514172716666025,E5
left_ankle_mean_y,0.04380303565984012,E5
left_foot_index_mean_y,0.04328381486766819,E5
right_shoulder_mean_x,0.04137767783229372,E5
right_eye_inner_var_y,0.04128906507529302,E5
left_ear_mean_y,0.03956929463948343,E5
left_index_var_x,0.03933470409304329,E5
right_eye_var_y,0.038137484091156915,E5
right_eye_outer_var_y,0.037400518273262025,E5
right_elbow_var_x,0.03660366717208998,E5
right_ankle_var_y,0.03610155838369161,E5
nose_var_y,0.033495704718983166,E5
left_heel_mean_y,0.032816099601578164,E5
right_index_mean_y,0.032465299371024825,E5
right_pinky_mean_y,0.03169573369884676,E5
right_ear_mean_y,0.03056137574605912,E5
left_foot_index_mean_x,0.02977112179477745,E5
